time_stamp,influencer,promoter,influncer_tweet,promoter_tweet,influencer_tweet_likes,promoter_tweet_likes,influencer_tweet_text,promoter_tweet_text
"3:58 AM · Oct 11, 2021",https://twitter.com/CryptoIRELAND1,https://twitter.com/sarah__georgia,https://twitter.com/CryptoIRELAND1/status/1447307810400841730,https://twitter.com/sarah__georgia/status/1447411224245784582?t=VkDX2fp19ysLWpcUKa3Iqg&s=19,392,2.0,Imagine not holding and staking the $ADA coin ,What is worse is not #HODLing and staking the $HAKA coin
"4:00 AM · Oct 11, 2021",https://twitter.com/girlgone_crypto,https://twitter.com/sarah__georgia,https://twitter.com/girlgone_crypto/status/1447409417331249153,https://twitter.com/sarah__georgia/status/1447411811712602113?t=EiOHu1e52_yk_zRC5g9G1Q&s=19,793,1.0,looks like we might be in for a bullish week ,"I think so too, my $HAKA #gem already showing green candle signs"
"4:05 AM · Oct 11, 2021",,https://twitter.com/sarah__georgia,,https://twitter.com/sarah__georgia/status/1447412995689123842?t=2KmZlB_34ajHvaLQSAT3cw&s=19,,1.0,,"I believe 
I also believe $HAKA will make a lot of #crypto millionaires"
"4:07 AM · Oct 11, 2021",https://twitter.com/cryptomanran,https://twitter.com/sarah__georgia,https://twitter.com/cryptomanran/status/1447255389058306057,https://twitter.com/sarah__georgia/status/1447413618740383747?t=dn53k6a-5_81k54KcTI8Yw&s=19,"6,956",1.0,Do you even understand what is about to happen to Altcoins soon??,"Yeah
They are going to pump massively most especially $HAKA @tribeonedefi"
"4:22 AM · Oct 11, 2021",,https://twitter.com/psalmcrypt,,https://twitter.com/psalmcrypt/status/1447417279910752260?t=KUGVdzSRCzhriL5eyH4UQA&s=19,,4.0,,"Way to go #btcI'm patiently waiting for $HAKA and $MATIC to go parabolic... especially $HAKA, it needs to ×200  fast.#BTC #HODL #tribe"
"4:28 AM · Oct 11, 2021",https://twitter.com/AltcoinDailyio,https://twitter.com/psalmcrypt,https://twitter.com/AltcoinDailyio/status/1447330910618095619,https://twitter.com/psalmcrypt/status/1447418793928572930?t=xBN8kEvlxLiwyMofJoTJNQ&s=19,"1,649",2.0,BUY  THE  DIP ,"Are we discussing the dips again? I thought that went with September??

Staking $HAKA on @pool_x_official to  enjoy APRs of up to 55% is a big future move....#HODL #dApps #DeFi"
"4:32 AM · Oct 11, 2021",,https://twitter.com/psalmcrypt,,https://twitter.com/psalmcrypt/status/1447419825693863938?t=zXpPlPSiTB-dHkTQdAM_Qg&s=19,,2.0,,"We will be looking at @tribeonedefi token $HAKA.

There's no better passive earning means than staking $HAKA... But it is still very much undervalued#HODL #DeFi #tribe"
,,,,,,,,
"4:43 AM · Oct 11, 2021",,https://twitter.com/psalmcrypt,,https://twitter.com/psalmcrypt/status/1447422496429551617?t=YU_YCuvgjvs8MKlIR35xKA&s=19,,1.0,,"Congratulations in advance to @BabyoBabytoken..

And Congratulations to @tribeonedefi on their recent partnership with @Dvision_network ..#DeFi #dApps"
"4:45 AM · Oct 11, 2021",https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1447400119159173124,https://twitter.com/psalmcrypt/status/1447423173511761920?t=qlcCtbpj-BtgqmVUO1Z3Kw&s=19,257,2.0,,What is the market saying about $HAKA?$HAKA's mass adoption is happening so fast. Does this mean more values are being added ?#dApps #tribe
"4:52 AM · Oct 11, 2021",,https://twitter.com/psalmcrypt,,https://twitter.com/psalmcrypt/status/1447424797483356160?t=0lr1i5w3wh2UPE5Z6WU6VQ&s=19,,1.0,,"I'll love to know how secure my password is from a third party, or how will my password be stored?

I love transparency and very assured security....More reason I'm very invested in @tribeonedefi.... 

Every single transaction with @tribeonedefi is very transparent#dApps"
"4:56 AM · Oct 11, 2021",https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1447377347158609922,https://twitter.com/psalmcrypt/status/1447425873725034497?t=uvSPBfns6t30Wj4eXMoG9A&s=19,"2,117",2.0,Actually — Robinhood needs to list $XRP.,"Do you really think $XRP will hit big figures if they don't settle their shit with SEC?

Btw!!! @tribeonedefi  strategic partnership with @Dvision_network  will enable users with #tribe #NFT loans to have access to #Dvision #NFT VR Metaverse....

Smart one yea???#DeFi #DeFi"
"4:59 AM · Oct 11, 2021",https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1447375187746381829,https://twitter.com/psalmcrypt/status/1447426526740369411?t=rdn74Sxitq63-PMOQ5DBmw&s=19,110,2.0,,"Those who plan on hodling $HAKA short term!!!!! 

Bad  decision. $HAKA is a potential long-term hodl.#HODL #tribe #stake"
"5:02 AM · Oct 11, 2021",https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1447358656165683202,https://twitter.com/psalmcrypt/status/1447427309896708096?t=K7G_3GJesjIX6N_st4M1zw&s=19,213,1.0,,"Hey David you good???

You have got some extra time??? Do go through @tribeonedefi  whitepaper, then tell me what you think...#dApps #DeFi"
"5:04 AM · Oct 11, 2021",,https://twitter.com/psalmcrypt,,https://twitter.com/psalmcrypt/status/1447427859296002049?t=KG_e5P_7fwXqPajaRfQGPg&s=19,,1.0,,"I hope this prediction is right for #BTC.....

Everyone......What's your prediction for $HAKA? Straight ×1000? Or more?#dApps #DeFi"
"5:07 AM · Oct 11, 2021",https://twitter.com/davidgokhshtein,https://twitter.com/psalmcrypt,https://twitter.com/davidgokhshtein/status/1447351243949608960,https://twitter.com/psalmcrypt/status/1447428649196589062?t=QEtyjr6NdGOw9x_JLYBjYA&s=19,"4,674",2.0, — the same people talking down on it will be getting it.,"Hey, you won't blame then for real!!! So many undervalued projects put there!!!!

Look at $HAKA though undervalued,  but the market value keeps in increasing gradually.#BTC #tribe #dApps"
"5:09 AM · Oct 11, 2021",,https://twitter.com/psalmcrypt,,https://twitter.com/psalmcrypt/status/1447429135471624192?t=TMt5pK35ZKRHNz-g3oTQSA&s=19,,2.0,,"I don't do MEME....

Probably my investment with $HAKA will be the last for this year!!!! Then I open a new chapter by 2022..."
"5:21 AM · Oct 11, 2021",https://twitter.com/elliotrades,https://twitter.com/psalmcrypt,https://twitter.com/elliotrades/status/1447370517955026947,https://twitter.com/psalmcrypt/status/1447432105324158977?t=rmGlsiPvYv61b3VvfwmgKQ&s=19,"3,131",2.0,"I don't believe crypto can go mainstream without NFTs

prove me wrong","The #NFT train also needs fueling from
crypto.....Unarguably, #NFT is proving to be the
future!!!

I'm anticipating  @tribeonedefi #AMA session
with @BROYAL_PUNK . I've got ears peeled for
that and My questions ready for @BROYAL PUNK.#NFT #dApps"
"5:25 AM · Oct 11, 2021",https://twitter.com/elliotrades,https://twitter.com/psalmcrypt,https://twitter.com/elliotrades/status/1447357467889860612,https://twitter.com/psalmcrypt/status/1447433080541691904?t=DOVF3gHEAPS6m7k-qWtXsA&s=19,971,1.0,,"@Dvision_network  is set to introduce the biggest #NFT Loan Products via the #Dvision @tribeonedefi platform.

This will give users access to flexible loans to be collateralized against the #NFTS NETWORK"
"5:32 AM · Oct 11, 2021",,https://twitter.com/psalmcrypt,,https://twitter.com/psalmcrypt/status/1447434806506237957?t=NA8jRlBL2HmRaUr1gRpbzg&s=19,,4.0,,"#NFTs are big projects to behold. But I honestly think they need to make more structure for the community!!

Did y'all know that through the loan from $HAKA, users can buy NFT Items or Spaces on $DVI to explore the #metaverse & #NFTs while building a better #portfolio?"
"5:35 AM · Oct 11, 2021",https://twitter.com/elliotrades,https://twitter.com/psalmcrypt,https://twitter.com/elliotrades/status/1447247899771879425,https://twitter.com/psalmcrypt/status/1447435543625732107?t=Uvs8AaN2Uvwi-CMxkO9fyw&s=19,"1,278",1.0,,"Shout out to @tribeonedefi for this big movement with @Dvision_network ......

Prior to its #NFT marketplace launch, @Dvision_networkhas partnered with @tribeonedefi for #NFTLoan#dApps #DeFi #NFTs"
"5:40 AM · Oct 11, 2021",https://twitter.com/elliotrades,https://twitter.com/psalmcrypt,https://twitter.com/elliotrades/status/1447239832577531905,https://twitter.com/psalmcrypt/status/1447436874281332748?t=9vEGmwChDKBQoTwY627EwA&s=19,"1,499",1.0,,All of my earnings are splited into various places for the future....@Dvision_network recently announced partnership with@tribeonedefi #Dvision introduced the NFT Loan Products via the @tribeonedefi platform to give users flexible loans to be collateralized against the #NFTs
"5:44 AM · Oct 11, 2021",https://twitter.com/MikeDavisYT,https://twitter.com/psalmcrypt,https://twitter.com/MikeDavisYT/status/1447336122863001609,https://twitter.com/psalmcrypt/status/1447437990075244544?t=tiMXuE648kd-T4_AiQR_zA&s=19,298,3.0,RT if #Doge can become the money of the world,"Mike, what the hell!!!! Same $DOGE? becoming what world currency??$HAKA has ×100 chances of creating millionaires in the coming future. $DOGE has literally no chance...#dApps #DeFi"
"5:49 AM · Oct 11, 2021",https://twitter.com/Ralvero,https://twitter.com/psalmcrypt,https://twitter.com/Ralvero/status/1447242467582038025,https://twitter.com/psalmcrypt/status/1447439247028408321?t=0CrDcwWrhQnOZ00JXY7gxw&s=19,229,2.0,#NFTS #ALTCOINS,"Hey RALV...

We are ready to welcome you into the @tribeonedefi community. Hodl $HAKA and stake in pools to earn big#HODL"
"6:49 AM · Oct 11, 2021",https://twitter.com/Crypto__emily,https://twitter.com/ArlissCrab,https://twitter.com/Crypto__emily/status/1447330705718059009,https://twitter.com/ArlissCrab/status/1447454169581953028?s=20,82,1.0,Let me know in the comments ,"I feel $FEG has a chance from your list.

I'll rather choose $HAKA to get to $1 ahead of these listed coins considering it's amazing utility and recent  moves."
"6:51 AM · Oct 11, 2021",,https://twitter.com/ArlissCrab,,https://twitter.com/ArlissCrab/status/1447454746713989122?s=20,,,,#HAKA of @tribeonedefi definitely deserves some attention. It's been churning bullish recently and looks primed to even go higher once @tribeonedefi launches #dApps shortly.
"6:53 AM · Oct 11, 2021",,https://twitter.com/ArlissCrab,,https://twitter.com/ArlissCrab/status/1447455319597142021?s=20,,1.0,,"I already have some decent amount of $BTC.

I'll rather buy $HAKA with that $50,000 #Tether"
